Time,Position,Error,Speed,Voltage
0.012669,0,-2,0,0,
0.03382,0,-2,0,0,
0.06263,0,-2,0,0,
0.084433,0,-2,0,0,
0.118051,0,-2,0,0,
0.145976,0,0,0,0,
0.179177,0,-2,0,-0.909091,
0.216981,-0.00138889,-23,0,-1.62424,
0.233749,-0.00486111,-36,-0.416667,-2.35152,
0.249533,-0.00486111,-44,-0.416667,-2.71906,
0.272223,-0.0201389,-58,-4.58333,-3.3869,
0.288962,-0.0201389,-65,-4.58333,-3.94741,
0.338484,-0.0951389,-87,-29.1667,-5.1042,
0.37366,-0.18125,-67,-63.3333,-4.31359,
0.385024,-0.18125,-59,-63.3333,-3.9523,
0.449696,-0.342361,-38,-122.917,-3.6129,
0.491752,-0.459722,3,-161.25,-2.76848,
0.53833,-0.627778,7,-170.417,-2.6283,
0.595102,-0.797917,50,-169.583,-1.1915,
0.623793,-0.838194,39,-167.5,-1.61657,
0.663187,-0.936111,19,-158.333,-2.2632,
0.711204,-1.03542,28,-145.833,-2.01173,
0.740764,-1.12708,-8,-145,-3.23314,
0.795775,-1.26319,-9,-140.833,-3.26906,
0.832444,-1.36528,7,-139.583,-2.69428,
0.848059,-1.36528,-29,-139.583,-3.99311,
0.897274,-1.51111,-17,-144.167,-3.56906,
0.909494,-1.51111,-12,-144.167,-3.3217,
0.943548,-1.61111,-2,-147.083,-3.039,
0.973877,-1.71458,-24,-148.75,-3.80059,
0.984452,-1.71458,-18,-150.833,-3.30792,
1.03458,-1.87153,9,-154.167,-2.56891,
1.04742,-1.87153,14,-154.167,-2.32258,
1.09034,-1.97292,-7,-155,-3.17111,
1.10799,-2.02431,-3,-155,-3.09985,
1.15852,-2.17431,16,-152.5,-2.35161,
1.19802,-2.275,-11,-150.833,-3.09985,
1.21051,-2.275,-5,-150.833,-2.88607,
1.24048,-2.37778,8,-150.833,-2.70792,
1.27898,-2.47569,18,-151.25,-2.28035,
1.29959,-2.52361,-15,-150.833,-3.52742,
1.34181,-2.62222,-5,-147.917,-2.98065,
1.38304,-2.72083,7,-146.25,-2.66129,
1.42854,-2.81875,-14,-147.5,-3.47742,
1.46504,-2.92014,0,-147.917,-2.89765,
1.4831,-2.97153,4,-148.75,-2.82698,
1.53075,-3.07292,-10,-152.083,-3.25103,
1.55923,-3.17708,1,-152.917,-2.70792,
1.58923,-3.22847,13,-153.333,-2.4585,
1.60618,-3.27917,18,-153.75,-2.28035,
1.62899,-3.32778,-12,-153.75,-3.42053,
1.65217,-3.42847,-2,-152.083,-2.99296,
1.67433,-3.47847,5,-150.833,-2.81481,
1.70202,-3.52708,10,-150,-2.63666,
1.73639,-3.62292,-21,-148.75,-3.56305,
1.76175,-3.675,-7,-147.917,-3.17111,
