Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.003803,0.000000,0.000000,0.000000,0.000000,12.570312,12.304688,12.351562,12.390625,0.000000,0.000000,0.000000,0.000000,
0.022396,0.000000,0.000000,0.000000,0.000000,12.570312,12.312500,12.367188,12.398438,0.000000,0.000000,0.000000,0.000000,
0.042289,0.059814,-0.059814,0.000000,0.000000,12.562500,12.320312,12.359375,12.398438,0.093750,0.000000,0.031250,0.000000,
0.062260,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
0.083882,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
0.102564,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.343750,12.382812,0.125000,0.031250,0.031250,0.062500,
0.122594,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.382812,0.093750,0.031250,0.062500,0.062500,
0.142627,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
0.162343,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.359375,12.382812,0.125000,0.031250,0.031250,0.062500,
0.182274,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.382812,0.125000,0.031250,0.031250,0.062500,
0.202862,0.059814,-0.059814,0.000000,0.000000,12.562500,12.296875,12.351562,12.375000,0.125000,0.031250,0.031250,0.062500,
0.222879,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.382812,0.125000,0.031250,0.031250,0.062500,
0.242330,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
0.263699,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.375000,0.125000,0.000000,0.031250,0.062500,
0.282402,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.382812,0.093750,0.031250,0.031250,0.062500,
0.303109,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
0.322325,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.343750,12.375000,0.125000,0.031250,0.031250,0.062500,
0.342598,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.093750,0.000000,0.062500,0.062500,
0.362540,0.059814,-0.059814,0.000000,0.000000,12.554688,12.304688,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
0.382602,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
0.403786,0.059814,-0.059814,0.000000,0.000000,12.554688,12.304688,12.351562,12.382812,0.125000,0.031250,0.031250,0.031250,
0.422435,0.059814,-0.059814,0.000000,0.000000,12.570312,12.304688,12.359375,12.375000,0.093750,0.031250,0.062500,0.062500,
0.442390,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.156250,0.031250,0.031250,0.062500,
0.462617,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.382812,0.093750,0.031250,0.031250,0.093750,
0.485034,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.390625,0.093750,0.031250,0.031250,0.062500,
0.502622,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.375000,0.093750,0.031250,0.062500,0.062500,
0.522625,0.059814,-0.059814,0.000000,0.000000,12.570312,12.304688,12.351562,12.382812,0.093750,0.031250,0.062500,0.062500,
0.542556,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.382812,0.156250,0.031250,0.062500,0.062500,
0.562564,0.059814,-0.059814,0.000000,0.000000,12.570312,12.304688,12.359375,12.382812,0.187500,0.031250,0.031250,0.062500,
0.582387,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
0.602285,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.390625,0.125000,0.031250,0.031250,0.062500,
0.622355,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.382812,0.125000,0.031250,0.031250,0.062500,
0.642933,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.375000,0.125000,0.031250,0.031250,0.062500,
0.662347,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.000000,0.031250,0.062500,
0.682588,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.375000,0.156250,0.000000,0.031250,0.062500,
0.706116,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
0.722324,0.059814,-0.059814,0.000000,0.000000,12.562500,12.296875,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
0.742638,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
0.762308,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
0.782290,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.125000,0.031250,0.062500,0.062500,
0.802818,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
0.823830,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.382812,0.093750,0.031250,0.031250,0.062500,
0.842316,0.059814,-0.059814,0.000000,0.000000,12.570312,12.304688,12.351562,12.382812,0.125000,0.000000,0.031250,0.062500,
0.862353,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.390625,0.125000,0.031250,0.031250,0.062500,
0.882316,0.059814,-0.059814,0.000000,0.000000,12.570312,12.304688,12.359375,12.382812,0.125000,0.031250,0.031250,0.062500,
0.903807,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.390625,0.093750,0.031250,0.031250,0.062500,
0.922426,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.382812,0.093750,0.031250,0.031250,0.062500,
0.942322,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.359375,12.382812,0.125000,0.031250,0.031250,0.062500,
0.962380,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
0.983784,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
1.002648,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.359375,12.382812,0.125000,0.031250,0.031250,0.062500,
1.022735,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.375000,0.093750,0.031250,0.031250,0.062500,
1.042388,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.125000,0.031250,0.031250,0.062500,
1.062337,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.343750,12.390625,0.125000,0.000000,0.031250,0.062500,
1.082646,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.351562,12.382812,0.093750,0.031250,0.031250,0.062500,
1.102381,0.059814,-0.059814,0.000000,0.000000,12.562500,12.312500,12.359375,12.382812,0.093750,0.031250,0.031250,0.062500,
1.122580,0.059814,-0.059814,0.000000,0.000000,12.562500,12.304688,12.343750,12.382812,0.125000,0.031250,0.031250,0.062500,
