Time,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.468750,12.203125,12.242188,12.304688,0.000000,0.000000,0.000000,0.000000,
0.020067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.195312,12.250000,12.304688,0.000000,0.000000,0.000000,0.000000,
0.040073,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.218750,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.060045,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.257812,12.328125,0.000000,0.000000,0.000000,0.000000,
0.080062,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.257812,12.312500,0.000000,0.000000,0.000000,0.000000,
0.100095,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.218750,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.120049,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.218750,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.140069,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.468750,12.218750,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.160056,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.218750,12.257812,12.335938,0.000000,0.000000,0.000000,0.000000,
0.180061,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.218750,12.265625,12.320312,0.000000,0.000000,0.000000,0.000000,
0.200110,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.468750,12.218750,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.220315,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.257812,12.312500,0.000000,0.000000,0.000000,0.000000,
0.240188,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.265625,12.312500,0.000000,0.000000,0.000000,0.000000,
0.260051,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.280186,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.250000,12.320312,0.000000,0.000000,0.000000,0.000000,
0.300161,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.218750,12.265625,12.320312,0.000000,0.000000,0.000000,0.000000,
0.320150,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.218750,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.340104,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.265625,12.320312,0.000000,0.000000,0.000000,0.000000,
0.360206,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.203125,12.265625,12.320312,0.000000,0.000000,0.000000,0.000000,
0.380058,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.265625,12.312500,0.000000,0.000000,0.000000,0.000000,
0.400137,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.203125,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
0.420198,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.476562,12.210938,12.265625,12.312500,0.000000,0.000000,0.000000,0.000000,
0.440921,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.468750,12.218750,12.257812,12.320312,0.000000,0.000000,0.000000,0.000000,
