Time,MatchTime,LeftEncoderPosition,RightEncoderPosition,LeftVelocityCommand,RightVelocityCommand,LeftActualVelocity,RightActualVelocity,LeftLeadAppliedOutput,LeftFollowAppliedOutput,RightLeadAppliedOutput,RightFollowAppliedOutput,LeftLeadVoltage,LeftFollowVoltage,RightLeadVoltage,RightFollowVoltage,LeftLeadCurrent,LeftFollowCurrent,RightLeadCurrent,RightFollowCurrent
0.000636,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.312500,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
0.020251,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.296875,12.289062,12.195312,0.000000,0.000000,0.000000,0.000000,
0.040335,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.060573,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.080351,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.296875,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
0.100470,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.120305,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.140282,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
0.160302,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.180271,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.200381,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
0.220404,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.240393,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.296875,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.260279,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.273438,12.187500,0.000000,0.000000,0.000000,0.000000,
0.280403,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.300341,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.320327,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
0.340341,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.360550,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.296875,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.380481,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
0.400396,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.420275,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.440462,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
0.460280,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.480330,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.273438,12.195312,0.000000,0.000000,0.000000,0.000000,
0.500400,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
0.520447,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.540276,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.560379,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.296875,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
0.580379,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.296875,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.600525,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.620333,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.281250,12.195312,0.000000,0.000000,0.000000,0.000000,
0.640319,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.660633,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.680324,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
0.700294,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.720440,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.740370,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.289062,12.187500,0.000000,0.000000,0.000000,0.000000,
0.760505,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.320312,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.780322,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.800348,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
0.820281,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.304688,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.840642,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.860412,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.312500,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
0.880246,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
0.900311,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.920370,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
0.940298,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.960372,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
0.980290,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.000554,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.020393,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
1.040368,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.060426,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.257812,12.187500,0.000000,0.000000,0.000000,0.000000,
1.080366,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.257812,12.187500,0.000000,0.000000,0.000000,0.000000,
1.100326,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.120455,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.195312,0.000000,0.000000,0.000000,0.000000,
1.140541,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.914062,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
1.160268,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.304688,12.281250,12.187500,0.000000,0.000000,0.000000,0.000000,
1.180344,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.898438,12.312500,12.265625,12.179688,0.000000,0.000000,0.000000,0.000000,
1.200424,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,11.906250,12.312500,12.265625,12.187500,0.000000,0.000000,0.000000,0.000000,
