Time,TargetLocked,VisionDriveActive,Distance,DistanceError,DistanceError_DB,AngleError,AngleError_DB,Speed,Omega
0.000627,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.020354,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.040503,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.060403,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.080391,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100367,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120480,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.140374,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.160393,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.180405,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200782,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.220438,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.240463,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260650,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.280405,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.300384,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.320466,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.340473,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.360399,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.380406,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400434,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.420526,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.440630,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.460486,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.480492,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500530,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.520361,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.540339,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.560358,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.580658,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600393,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.620343,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.640340,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.660630,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.680471,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.700488,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.720496,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.740419,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.760588,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.780394,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.800375,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.820657,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.840336,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.860391,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.880374,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.900440,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.920602,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.940419,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.960415,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.980736,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000422,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.020581,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.040365,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.060411,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.080346,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.100448,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.120703,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.140632,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.160465,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.180524,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.200352,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.220502,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.240449,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
