Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,Speed,Omega
0.000831,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.020153,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.040120,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.060141,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.080105,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.100062,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.120129,1,0,7.264731,2.735269,0.331223,0.000000,0.000000
0.140637,1,0,7.264731,2.735269,0.331223,0.000000,0.000000
0.160160,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.180086,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.200083,1,0,7.264731,2.735269,0.331223,0.000000,0.000000
0.220252,1,0,7.263465,2.736535,0.527748,0.000000,0.000000
0.240361,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.260104,1,0,7.264731,2.735269,0.331223,0.000000,0.000000
0.280072,1,0,7.264731,2.735269,0.331223,0.000000,0.000000
0.300104,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.320132,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.340155,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.360113,1,0,7.264731,2.735269,0.331223,0.000000,0.000000
0.380675,1,0,7.263465,2.736535,0.437683,0.000000,0.000000
0.400285,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.420209,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.440101,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.460132,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.480095,1,0,7.264731,2.735269,0.331223,0.000000,0.000000
0.500077,1,0,7.312394,2.687606,0.502876,0.000000,0.000000
0.520096,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.540109,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
0.560125,1,0,7.372548,2.627452,0.527748,0.000000,0.000000
