Time,TargetLocked,VisionDriveActive,Distance,DistanceError,AngleError,AngleError_DB,Speed,Omega
0.000110,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.019886,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.039900,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.059920,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.079895,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.099920,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.120168,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.139856,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.159909,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.179862,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.199906,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.219866,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.239997,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.260007,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.279916,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.299844,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.319951,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.339987,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.359920,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.380043,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.400185,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.420041,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.439896,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.459890,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.479851,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.499943,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.519933,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.539949,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.559925,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.579872,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.600222,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.620087,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.639962,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.659843,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.679882,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.699942,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.720216,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
